Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%),Water Scarcity Level
Brazil,2010,337.0366667,230.1077778,55.20888889,21.98555556,25.16111111,1933.672222,1.643333333,Moderate
Brazil,2011,483.5825,266.6833333,47.615,25.46833333,28.005,1403.941667,2.779166667,Moderate
Brazil,2012,469.025,331.6375,36.3725,22.0175,25.9475,1650.935,2.2375,Low
Brazil,2013,562.74125,197.11875,47.295,18.0575,27.91625,1699.57875,2.78375,High
Brazil,2014,559.112,317.394,58.716,28.48133333,27.96533333,1647.265333,2.271333333,Low
Brazil,2015,574.5815385,348.3384615,47.07307692,33.68461538,22.42307692,1569.433077,1.808461538,Low
Brazil,2016,501.7923077,289.3046154,50.24923077,28.60307692,27.30692308,2017.038462,3.008461538,Moderate
Brazil,2017,574.563,292.3,45.357,27.285,26.176,1338.94,2.189,Moderate
Brazil,2018,287.1566667,248.6733333,42.20833333,26.99833333,27.89,1074.935,2.69,Moderate
Brazil,2019,497.8663636,228.5627273,60.82818182,25.43727273,24.23727273,1452.016364,2.879090909,Moderate
Brazil,2020,553.0541176,261.3735294,47.09529412,29.15352941,27.90882353,1771.814706,2.653529412,Moderate
Brazil,2021,457.14,264.78125,45.7425,27.22,21.1825,1620.69375,2.27875,Moderate
Brazil,2022,417.748,289.605,53.949,22.364,24.084,1606.203,2.56,Moderate
Brazil,2023,688.2325,336.95875,39.915,21.9125,26.52125,1420.54625,1.82875,Low
Brazil,2024,417.18875,309.9975,55.47,18.35625,23.85875,1354.0525,2.8725,Low
Canada,2000,382.5146154,236.62,51.28615385,21.67461538,26.30923077,1423.098462,2.273846154,Moderate
Canada,2001,336.8311111,360.4011111,49.65888889,29.44777778,24.85333333,1244.823333,2.134444444,Low
Canada,2002,523.434,315.01,56.214,27.199,24.177,1902.677,3.398,Low
Canada,2003,346.3242857,196.96,49.38857143,34.52285714,27.11428571,1343.852857,2.988571429,High
Canada,2004,397.045,363.612,50.919,35.19,20.717,1820.441,2.459,Low
Canada,2005,511.832,223.712,46.746,29.47,21.278,1606.15,3.928,Moderate
Canada,2006,748.4233333,319.7166667,55.50333333,43.58333333,21.82666667,1202.826667,2.54,Low
Canada,2007,572.6066667,270.1277778,49.50666667,28.00555556,23.99555556,1688.984444,1.99,Moderate
Canada,2008,522.7742857,236.3428571,42.83857143,30.79285714,21.55285714,1010.11,3.74,Moderate
Canada,2009,361.4271429,220.7835714,45.11,27.53642857,25.85642857,1851.837143,2.993571429,Moderate
Canada,2010,532.35,218.36875,54.685,31.305,26.1275,1776.94125,3.1825,Moderate
Canada,2011,538.9313333,333.4326667,57.00333333,25.74,25.19066667,1949.646667,2.631333333,Low
Canada,2012,478.68375,264.65375,47.1725,30.0575,24.465,1403.48625,2.97625,Moderate
Canada,2013,460.666,140.288,49.074,38.574,26.216,1733.832,2.532,High
Canada,2014,563.8890909,192.1927273,42.29727273,28.48363636,23.93454545,1622.126364,3.225454545,High
Canada,2015,367.232,318.078,46.974,27.834,32.21,1586.67,4.114,Low
Canada,2016,568.3621053,255.0647368,46.92263158,23.71736842,24.36210526,1488.141579,2.496842105,Moderate
Canada,2017,386.1366667,181.9433333,52.955,34.02666667,27.52,2060.451667,2.68,High
Canada,2018,563.8364286,301.8814286,50.54857143,27.85214286,23.12071429,1431.243571,2.653571429,Low
Canada,2019,545.6142857,330.0142857,55.50714286,26.14,22.36428571,1200.763571,3.002142857,Low
Canada,2020,445.1363636,315.7736364,46.30636364,27.50545455,25.50727273,1165.987273,2.376363636,Low
Canada,2021,597.2784615,277.4907692,51.01769231,29.44538462,26.06384615,1350.286154,2.098461538,Moderate
Canada,2022,470.68,260.4033333,53.52111111,28.25,22.12,1277.861111,2.641111111,Moderate
Canada,2023,653.7088889,333.3888889,50,23.55333333,26.95222222,1161.61,2.785555556,Low
Canada,2024,476.976875,216.31125,57.044375,26.726875,26.4175,1312.939375,3,Moderate
China,2000,681.0283333,304.215,59.855,29.28833333,31.20166667,1162.198333,2.95,Low
China,2001,611.81,338.03125,49.53,27.50875,24.2175,2039.9125,2.94375,Low
China,2002,440.7053846,236.3661538,48.57923077,30.26307692,26.95692308,1538.954615,2.877692308,Moderate
China,2003,560.2175,254.99,47.54375,30.1575,21.235,1030.6175,2.76875,Moderate
China,2004,798.418,332.616,49.508,32.036,26.33,1494.778,2.802,Low
China,2005,561.7107692,269.9892308,60.50538462,31.58615385,24.89307692,1564.781538,2.165384615,Moderate
China,2006,455.5545455,296.5945455,45.90090909,23.29,27.98454545,1801.888182,2.977272727,Moderate
China,2007,462.5009091,266.9436364,56.33090909,23.10636364,27.83636364,1444.176364,3.033636364,Moderate
China,2008,558.4945455,299.8290909,47.24454545,24.14818182,21.31909091,1226.450909,3.698181818,Moderate
China,2009,383.6785714,247.7771429,56.41428571,27.73285714,23.78857143,1109.032857,3.081428571,Moderate
China,2010,557.6533333,252.5793333,54.532,30.60133333,26.17533333,1626.742667,1.541333333,Moderate
China,2011,578.89,262.365,58.845,30.8525,28.305,1197.7875,2.2475,Moderate
China,2012,542.623,299.206,48.454,27.471,19.249,1929.226,2.306,Moderate
China,2013,543.57,261.1914286,53.80428571,25.29,24.46857143,1088.364286,1.625714286,Moderate
China,2014,624.3155556,288.2322222,55.65333333,28.84222222,26.51111111,1302.847778,2.283333333,Moderate
China,2015,347.4677778,182.4388889,47.64,26.65111111,25.84888889,1616.388889,3.206666667,High
China,2016,524.2093333,289.5946667,51.64733333,32.768,28.11466667,1755.536667,3.066,Moderate
China,2017,525.1928571,299.985,58.73428571,30.68357143,28.44214286,2011.710714,2.136428571,Moderate
China,2018,510.1583333,333.8425,54.6525,25.3025,25.25583333,1725.075,2.175833333,Low
China,2019,607.9222222,291.7477778,56.23888889,26.22666667,28.19666667,1634.894444,2.55,Moderate
China,2020,415.4814286,246.5278571,47.83357143,28.22571429,23.76214286,1845.061429,2.253571429,Moderate
China,2021,436.1333333,261.1344444,40.21666667,25.81,26.01111111,1528.583333,2.482222222,Moderate
China,2022,528.547,273.902,46.55,26.054,22.024,1786.207,2.078,Moderate
China,2023,369.989,364.445,45.533,26.864,23.03,1682.639,2.361,Low
China,2024,507.325,253.1391667,50.8875,25.61,26.77833333,1796.505833,2.5125,Moderate
France,2000,488.93375,220.8825,56.37125,21.8425,25.03,1408.97,3.01875,Moderate
France,2001,521.4983333,265.4566667,45.48666667,24.46083333,26.88333333,1611.866667,2.430833333,Moderate
France,2002,559.8588889,271.6822222,43.04444444,29.07111111,27.58222222,1759.964444,2.898888889,Moderate
France,2003,496.7457143,355.3864286,48.725,27.32714286,22.945,1629.193571,3.2,Low
France,2004,639.9192308,351.1707692,48.55769231,28.46,24.10153846,1543.357692,1.962307692,Low
France,2005,468.018,277.3433333,49.49533333,21.51133333,25.398,1758.994667,2.709333333,Moderate
France,2006,479.364,279.85,46.83,25.544,22.986,1694.736,2.208,Moderate
France,2007,444.3490909,287.8509091,44.73545455,24.66818182,22.42545455,1251.492727,3.149090909,Moderate
France,2008,581.205,319.28875,55.64625,24.8925,22.63125,1219.19125,3.58,Low
France,2009,443.732,224.906,54.27,15.066,34.202,1244.022,1.796,Moderate
France,2010,482.3266667,236.8355556,41.79,22.50333333,22.83888889,1691.601111,2.233333333,Moderate
France,2011,591.6590909,233.2190909,46.34818182,28.80090909,27.61636364,1378.642727,2.286363636,Moderate
France,2012,574.9869231,333.8,41.74307692,29.48923077,28.30307692,1242.627692,2.203846154,Low
France,2013,465.4572727,311.8518182,52.59636364,28.76363636,24.28545455,1335.797273,3.513636364,Low
France,2014,595.2475,204.92,50.2375,31.2425,23.81833333,1743.239167,2.814166667,Moderate
France,2015,606.3277778,241.6588889,44.18888889,31.35111111,25.66555556,1359.15,3.118888889,Moderate
France,2016,591.9144444,308.6388889,45.31666667,28.64666667,28.17777778,1470.991111,2.65,Low
France,2017,462.96,251.9933333,46.40444444,26.21444444,26.85111111,1857.62,3.065555556,Moderate
France,2018,634.2688889,220.4866667,47.54777778,29.30666667,25.22111111,1299.051111,2.135555556,Moderate
France,2019,426.8733333,371.6666667,54.625,33.6,24.49833333,1767.771667,2.816666667,Low
France,2020,350.044,284.768,55.97666667,32.71933333,25.42266667,1520.140667,1.996,Moderate
France,2021,564.2745455,236.3118182,51.02,23.17181818,26.48727273,1469.8,2.189090909,Moderate
France,2022,474.2736364,208.1090909,49.97818182,25.19363636,20.55363636,1067.060909,2.716363636,Moderate
France,2023,280.6042857,291.0928571,56.83285714,18.27857143,24.55428571,1516.63,2.277142857,Moderate
France,2024,371.2733333,262.0233333,39.64666667,21.28,24.01333333,1786.175,3.071666667,Moderate
Germany,2000,215.224,294.826,43.592,30.644,28.184,1112.872,3.1,Moderate
Germany,2001,646.4285714,274.7657143,46.67285714,31.13285714,28.46285714,1664.31,2.58,Moderate
Germany,2002,569.154,289.43,53.094,25.012,27.314,2031.092,1.803,Moderate
Germany,2003,727.987,289.484,38.056,29.648,24.222,1384.207,2.231,Moderate
Germany,2004,436.425,178.7675,34.9675,40.955,29.1275,700.23,2.3675,High
Germany,2005,356.9516667,272.4358333,48.36916667,26.52,21.9375,1777.863333,3.26,Moderate
Germany,2006,519.47,297.8015385,53.29538462,32.12384615,25.04230769,1911.536923,2.576923077,Moderate
Germany,2007,603.3772727,287.8272727,58.75636364,24.86090909,26.43363636,1477.133636,2.460909091,Moderate
Germany,2008,625.7871429,285.2742857,47.80714286,35.81,20.66714286,1724.527143,1.632857143,Moderate
Germany,2009,129.6366667,266.55,47.27666667,29.82,13.82333333,1329.656667,2.166666667,Moderate
Germany,2010,322.49,263.3571429,43.07142857,27.53,23.22857143,1013.737143,1.607142857,Moderate
Germany,2011,613.3222222,184.7377778,39.73333333,23.77888889,23.37777778,1436.822222,3.415555556,High
Germany,2012,496.1746667,274.8626667,46.56466667,20.73533333,26.72066667,1663.107333,3.073333333,Moderate
Germany,2013,373.52,350.7085714,58.90142857,30.94142857,27.59,1651.584286,2.021428571,Low
Germany,2014,531.3715385,222.1376923,51.77230769,23.62461538,20.43615385,1711.955385,3.820769231,Moderate
Germany,2015,660.48,325.885,41.15833333,18.99666667,22.03833333,1783.005,1.963333333,Low
Germany,2016,528.5615385,275.1153846,45.71384615,26.94307692,17.56,1593.666923,2.963846154,Moderate
Germany,2017,548.83125,211.255,44.12,33.53875,24.8825,1364.22625,2.8675,Moderate
Germany,2018,514.1881818,285.7018182,46.78272727,30.7,25.52363636,1293.692727,3.062727273,Moderate
Germany,2019,531.1414286,287.0771429,42.09428571,30.03285714,24.45,1919.274286,2.458571429,Moderate
Germany,2020,648.9569231,294.7538462,44.64384615,30.8,23.62307692,1532.419231,2.343076923,Moderate
Germany,2021,425.7872727,264.1345455,47.39818182,30.96818182,23.85545455,1441.611818,2.3,Moderate
Germany,2022,528.0978571,281.5335714,52.33571429,26.935,24.12071429,1676.251429,2.732142857,Moderate
Germany,2023,564.022,248.521,53.012,28.683,25.183,1637.84,2.626,Moderate
Germany,2024,551.2027273,253.6290909,55.76909091,25.41545455,23.27363636,916.2636364,3.237272727,Moderate
India,2000,422.3925,404.35,37.4875,39.08,23.735,1568.955,2.265,Low
India,2001,478.7561538,200.8846154,59.99,20.73461538,25.14,1766.200769,3.038461538,Moderate
India,2002,344.7375,333.9275,44.505,26.87375,25.98875,1603.475,1.89,Low
India,2003,455.10375,298.295,46.62625,25.02,23.38,2220.125,2.235,Moderate
India,2004,450.94,228.80875,52.235,21.03875,26.45125,1353.02875,2.3575,Moderate
India,2005,479.3322222,338.3655556,51.53333333,28.48555556,23.52222222,1663.057778,2.076666667,Low
India,2006,603.7157143,269.3114286,52.88571429,24.80142857,19.36714286,1877.765714,3.242857143,Moderate
India,2007,438.1342857,381.5571429,40.76285714,32.83571429,25.37285714,1676.654286,1.787142857,Low
India,2008,629.8133333,341.8922222,46.10222222,35.65222222,19.91,2011.234444,3.021111111,Low
India,2009,558.145,223.319,43.687,26.604,25.576,1710.032,2.351,Moderate
India,2010,525.5208333,316.4225,52.28833333,23.4525,23.13333333,1320.158333,1.718333333,Low
India,2011,715.1671429,269.5357143,65.79142857,30.23571429,28.43142857,1213.161429,3.002857143,Moderate
India,2012,598.0823077,328.2092308,49.09153846,27.76,23.63307692,1334.451538,2.146923077,Low
India,2013,623.0138462,296.5915385,55.98846154,20.49846154,25.69076923,1236.723077,2.245384615,Moderate
India,2014,500.4377778,236.1577778,54.77888889,35.39888889,26.25222222,1814.193333,2.734444444,Moderate
India,2015,551.1209091,232.7263636,41.87272727,30.28090909,22.2,1314.403636,3.02,Moderate
India,2016,425.52625,312.06125,44.6225,28.97875,22.28625,1839.97875,3.09375,Low
India,2017,628.4944444,273.0844444,53.49666667,25.77222222,29.67666667,1399.413333,2.351111111,Moderate
India,2018,407.4209091,290.4927273,50.45636364,31.29090909,23.58636364,1713.833636,2.441818182,Moderate
India,2019,427.826,271.546,52.226,26.398,27.722,999.733,2.24,Moderate
India,2020,446.3557143,289.6614286,64.49857143,26.79285714,24.05285714,1574.561429,2.675714286,Moderate
India,2021,442.6990909,276.6518182,45.21909091,24.58636364,22.59363636,1742.164545,2.157272727,Moderate
India,2022,497.8878571,354.5978571,47.52,33.61357143,22.99142857,2146.368571,2.968571429,Low
India,2023,451.2883333,273,48.39166667,25.33166667,27.9325,1603.4575,2.905833333,Moderate
India,2024,479.7509091,337.7518182,42.76363636,26.45818182,22.64727273,1391.921818,2.178181818,Low
Indonesia,2000,423.4445455,252.3945455,55.17454545,23.11818182,23.12,1519.429091,1.845454545,Moderate
Indonesia,2001,424.1808333,225.1841667,51.20666667,26.98833333,22.4225,1029.774167,2.27,Moderate
Indonesia,2002,335.6527273,297.6672727,46.07,24.10818182,24.83090909,1428.850909,2.860909091,Moderate
Indonesia,2003,500.5683333,261.5366667,42.46,29.235,32.735,1433.571667,2.673333333,Moderate
Indonesia,2004,494.8585714,301.0928571,45.92285714,31.55714286,25.17857143,1392.615714,2.885714286,Low
Indonesia,2005,340.6314286,190.9514286,48.94285714,25.14857143,21.47857143,1467.027143,2.484285714,High
Indonesia,2006,361.7125,302.7758333,51.29416667,32.1525,25.795,1684.0775,2.240833333,Low
Indonesia,2007,437.59,320.209,53.373,27.334,21.352,1263.136,2.703,Low
Indonesia,2008,497.0171429,172.4414286,52.15285714,29.28428571,28.8,1801.191429,1.715714286,High
Indonesia,2009,526.372,302.216,37.624,35.81666667,22.36333333,1692.661333,2.552666667,Low
Indonesia,2010,394.0853846,304.9284615,52.38,27.93769231,24.42076923,1642.244615,2.413846154,Low
Indonesia,2011,513.07,272.754,44.916,29.192,23.584,905.278,2.846,Moderate
Indonesia,2012,612.3836364,215.1918182,42.14818182,20.18,23.01454545,1876.305455,2.367272727,Moderate
Indonesia,2013,524.205,254.6675,61.595,22.84,17.195,2360.075,3.8925,Moderate
Indonesia,2014,398.7266667,336.8008333,54.00166667,22.195,19.96083333,1911.3125,2.679166667,Low
Indonesia,2015,501.6763636,220.6218182,44.81181818,27.18545455,20.43818182,1632.34,3.057272727,Moderate
Indonesia,2016,648.6128571,278.6271429,50.79,23.61428571,17.92285714,1720.858571,2.345714286,Moderate
Indonesia,2017,719.6828571,255.6357143,57,24.55285714,21.01857143,1321.295714,1.97,Moderate
Indonesia,2018,439.709,252.516,48.88,31.032,27.669,1275.087,2.235,Moderate
Indonesia,2019,413.0072727,203.0927273,49.46818182,28.99818182,25.38090909,1795.614545,2.734545455,Moderate
Indonesia,2020,558.59875,288.03,42.735,21.86625,25.2175,1081.8,2.4775,Moderate
Indonesia,2021,463.8866667,277.4533333,54.28,26.78333333,13.66833333,1869.676667,2.3,Moderate
Indonesia,2022,622.5435714,247.8207143,53.53428571,28.62142857,25.91571429,1504.516429,2.162857143,Moderate
Indonesia,2023,559.205,237.0475,53.07333333,28.7225,21.2775,1566.625833,3.325833333,Moderate
Indonesia,2024,439.8463636,366.2672727,43.77181818,22.86181818,26.39,1730.264545,2.250909091,Low
Italy,2000,365.1183333,398.7416667,42.66333333,22.915,25.855,1648.945,2.433333333,Low
Italy,2001,668.278,238.974,55.974,21.93,24.856,978.386,2.61,Moderate
Italy,2002,613.6314286,285.0871429,44.40785714,28.24,24.73285714,1849.275714,1.942857143,Moderate
Italy,2003,446.749,250.302,51.775,23.841,19.903,1396.319,1.931,Moderate
Italy,2004,604.7344444,124.6977778,46.64666667,34.08111111,26.06,1317.36,2.895555556,High
Italy,2005,482.9130769,270.8076923,55.45230769,37.81846154,26.71769231,1916.143077,2.935384615,Moderate
Italy,2006,383.605,224.1325,52.29,37.225,24.61375,1487.0575,2.4975,Moderate
Italy,2007,646.3181818,250.3845455,43.58636364,25.74909091,30.04454545,1695.921818,2.660909091,Moderate
Italy,2008,476.8438462,357.8669231,45.55615385,31.19076923,23.78,1389.683077,2.954615385,Low
Italy,2009,417.7090909,280.4127273,47.05636364,28.00545455,23.35727273,1162.708182,1.927272727,Moderate
Italy,2010,631.625,368.79,53.95428571,28.38357143,28.01428571,1575.729286,2.767857143,Low
Italy,2011,482.0222222,234.0977778,50.20555556,29.92444444,25.86666667,1319.646667,3.035555556,Moderate
Italy,2012,574.1427273,260.3290909,50.85,30.39818182,24.06909091,1862.157273,1.685454545,Moderate
Italy,2013,549.9063636,274.9790909,52.97636364,19.64545455,25.16363636,1063.212727,1.763636364,Moderate
Italy,2014,453.4766667,300.0493333,50.884,23.46733333,25.62066667,2214.668667,2.128666667,Low
Italy,2015,493.0144444,298.2211111,55.56333333,26.52333333,26.71333333,1550.253333,2.791111111,Moderate
Italy,2016,602.21,262.5877778,45.87,31.44777778,25.35666667,1379.187778,3.292222222,Moderate
Italy,2017,433.6275,309.3575,43.67875,28.21625,24.945,1831.33125,3.455,Low
Italy,2018,488.0128571,282.9557143,51.95142857,31.78142857,23.84857143,1590.241429,2.547142857,Moderate
Italy,2019,586.185,373.9966667,48.89,23.71583333,21.6625,1670.785833,2.541666667,Low
Italy,2020,299.4342857,313.2171429,57.96428571,29.40285714,25.24857143,977.3957143,1.741428571,Low
Italy,2021,417.9846154,293.0553846,48.10307692,31.92615385,19.65153846,1756.885385,2.220769231,Moderate
Italy,2022,473.964,264.601,51.205,32.021,23.228,1585.308,2.512,Moderate
Italy,2023,438.424,264.432,50.878,18.286,30.731,1880.054,2.219,Moderate
Italy,2024,419.7014286,322.83,42.85571429,25.83571429,22.13857143,1516.604286,2.425714286,Low
Japan,2000,605.2566667,282.8583333,50.405,26.69666667,25.07166667,2079.768333,3.885,Moderate
Japan,2001,549.427,293.662,51.609,31.296,25.999,1716.702,2.47,Moderate
Japan,2002,499.0583333,244.6291667,50.7425,28.01,21.96166667,1308.203333,2.136666667,Moderate
Japan,2003,560.356,262.8046667,46.018,31.83266667,23.174,1422.652667,2.338,Moderate
Japan,2004,437.505,248.0416667,56.60833333,32.17833333,24.78333333,1580.083333,2.118333333,Moderate
Japan,2005,456.06,360.4316667,28.905,29.17,28.085,1240.253333,2.975,Low
Japan,2006,463.24,365.94,44.77,33.96428571,29.82857143,1723.55,2.51,Low
Japan,2007,402.7142857,285.4871429,57.56714286,23.13571429,27.50714286,1596.588571,1.928571429,Moderate
Japan,2008,392.917,220.327,46.151,34.807,21.849,1556.853,1.898,Moderate
Japan,2009,610.65,278.154,51.512,33.414,22.852,973.144,2.44,Moderate
Japan,2010,441.6038462,250.6561538,48.16384615,27.15692308,22.44230769,1379.128462,2.357692308,Moderate
Japan,2011,559.7,313.43125,52.77,28.69125,23.74,1103.30875,2.5025,Low
Japan,2012,526.375,205.20125,59.79875,17.805,26.49625,1247.94,2.56125,Moderate
Japan,2013,476.1544444,258.7655556,51.79222222,37.92888889,25.17555556,2137.826667,1.605555556,Moderate
Japan,2014,536.5088889,248.0744444,47.61111111,21.34222222,22.66111111,1876.263333,2.435555556,Moderate
Japan,2015,410.5642857,285.1157143,45.18428571,25.38428571,28.46714286,1414.305714,2.47,Moderate
Japan,2016,615.8707692,248.1176923,55.42307692,27.03230769,26.00923077,2127.22,2.722307692,Moderate
Japan,2017,576.0422222,211.9377778,49.09333333,24.06888889,27.21111111,1715.264444,2.296666667,Moderate
Japan,2018,664.3883333,290.5833333,37.62333333,31.04833333,25.97,1057.183333,3.408333333,Moderate
Japan,2019,582.8723077,241.0176923,45.56461538,30.94615385,25.16769231,1788.149231,2.378461538,Moderate
Japan,2020,211.8166667,275.4433333,63.69,25.29333333,20.76,2151.44,1.966666667,Moderate
Japan,2021,423.3775,323.10125,45.98875,30.5575,28.1375,1272.9025,3.12,Low
Japan,2022,615.154,217.178,51.732,35.16,23.86,2533.678,2.248,Moderate
Japan,2023,345.694,303.654,47.402,25.298,25.886,976.542,2.942,Low
Japan,2024,622.3766667,240.0583333,51.85333333,28.32833333,21.41333333,1524.228333,1.54,Moderate
Mexico,2000,529.0325,252.6575,47.1675,32.75625,21.59,1518.33,2.68375,Moderate
Mexico,2001,471.7709091,269.47,41.80727273,32.28818182,25.15,997.6227273,2.616363636,Moderate
Mexico,2002,279.071,139.861,54.665,22.814,20.089,1182.428,2.564,High
Mexico,2003,504.06625,304.75,55.7475,28.84875,29.12625,1651.06125,3.4125,Low
Mexico,2004,524.3077778,302.4922222,45.33444444,25.66,26.57333333,2115.708889,2.578888889,Low
Mexico,2005,511.0575,217.07,55.8325,29.0225,19.915,1283.9425,1.615,Moderate
Mexico,2006,447.81,338.596,40.47,19.962,16.608,1297.068,2.816,Low
Mexico,2007,527.2194118,281.4670588,50.69,28.98352941,22.66058824,1214.260588,2.822941176,Moderate
